,Name,Line,Series,Grouping,Index,Owned,
,Magic Rocket (Rune Rocket),Skylanders,Trap Team,4,71,Yes,
,Water Tiki (Tidal Tiki),Skylanders,Trap Team,4,72,Yes,
,Water Log Holder (Wet Walter),Skylanders,Trap Team,4,73,Yes,
,Water Jughead (Flood Flask),Skylanders,Trap Team,4,74,Yes,
,Legendary Water Jughead Trap,Skylanders,Trap Team,4,74,Yes,
,Water Angel (Soaking Staff),Skylanders,Trap Team,4,75,Yes,
,Water Axe (Aqua Axe),Skylanders,Trap Team,4,76,Yes,
,Water Flying Helmet (Frost Helm),Skylanders,Trap Team,4,77,No,
,Air Toucan (Breezy Bird),Skylanders,Trap Team,4,78,Yes,
,Air Jughead (Drafty Decanter),Skylanders,Trap Team,4,79,Yes,
,Air Hourglass (Tempest Timer),Skylanders,Trap Team,4,80,Yes,
,Air Snake (Cloudy Cobra),Skylanders,Trap Team,4,81,Yes,
,Air Screamer (Storm Warning),Skylanders,Trap Team,4,82,Yes,
,Air Sword (Cyclone Sabre),Skylanders,Trap Team,4,83,Yes,
,Undead Orb (Spirit Sphere),Skylanders,Trap Team,4,84,Yes,
,Legendary Undead Orb Trap,Skylanders,Trap Team,4,84,Yes,
,Undead Skull (Spectral Skull),Skylanders,Trap Team,4,85,Yes,
,Legendary Undead Skull Trap,Skylanders,Trap Team,4,85,Yes,
,Undead Axe (Haunted Hatchet),Skylanders,Trap Team,4,86,Yes,
,Undead Hand (Grim Gripper),Skylanders,Trap Team,4,87,Yes,
,Undead Snake (Spooky Snake),Skylanders,Trap Team,4,88,No,
,Undead Captain's Hat (Dream Piercer),Skylanders,Trap Team,4,89,No,
,Tech Tiki (Tech Totem),Skylanders,Trap Team,4,90,Yes,
,Tech Angel (Automatic Angel),Skylanders,Trap Team,4,91,Yes,
,Tech Scepter (Factory Flower),Skylanders,Trap Team,4,92,Yes,
,Tech Hand (Grabbing Gadget),Skylanders,Trap Team,4,93,Yes,
,Tech Flying Helmet (Makers Mana),Skylanders,Trap Team,4,94,Yes,
,Tech Handstand (Topsy Techy),Skylanders,Trap Team,4,95,No,
,Fire Torch (Eternal Flame),Skylanders,Trap Team,4,96,Yes,
,Fire Scepter (Fire Flower),Skylanders,Trap Team,4,97,Yes,
,Fire Screamer (Scorching Stopper),Skylanders,Trap Team,4,98,Yes,
,Fire Totem (Searing Spinner),Skylanders,Trap Team,4,99,Yes,
,Fire Captain's Hat (Spark Spear),Skylanders,Trap Team,4,100,Yes,
,Fire Yawn (Blazing Belch),Skylanders,Trap Team,4,101,No,
,Earth Toucan (Rock Hawk),Skylanders,Trap Team,4,102,Yes,
,Earth Orb (Banded Boulder),Skylanders,Trap Team,4,103,Yes,
,Earth Hammer (Slag Hammer),Skylanders,Trap Team,4,104,Yes,
,Earth Hourglass (Dust of Time),Skylanders,Trap Team,4,105,Yes,
,Earth Totem (Spinning Sandstorm),Skylanders,Trap Team,4,106,Yes,
,Earth Handstand (Rubble Trouble),Skylanders,Trap Team,4,107,Yes,
,Easter Bunny Earth Trap,Skylanders,Trap Team,4,107,Yes,
,Life Toucan (Oak Eagle),Skylanders,Trap Team,4,108,Yes,
,Life Torch (Emerald Energy),Skylanders,Trap Team,4,109,Yes,
,Life Hammer (Weed Whacker),Skylanders,Trap Team,4,110,Yes,
,Life Snake (Seed Serpent),Skylanders,Trap Team,4,111,Yes,
,Life Sword (Jade Blade),Skylanders,Trap Team,4,112,No,
,Life Yawn (Shrub Shrieker),Skylanders,Trap Team,4,113,No,
,Light Owl (Heavenly Hawk),Skylanders,Trap Team,4,114,No,
,Light Rocket (Shining Ship),Skylanders,Trap Team,4,115,No,
,Light Yawn (Beam Scream),Skylanders,Trap Team,4,116,No,
,Dark Handstand (Ghastly Grimace),Skylanders,Trap Team,4,117,No,
,Dark Spider (Shadow Spider),Skylanders,Trap Team,4,118,No,
,Dark Sword (Dark Dagger),Skylanders,Trap Team,4,119,No,
,Kaos Trap,Skylanders,Trap Team,4,120,Yes,
,Ultimate Kaos Trap (Dark Edition),Skylanders,Trap Team,4,120,Yes,
,Hurricane Jet-Vac,Skylanders,SuperChargers,5,1,Yes,
,Legendary Hurricane Jet-Vac,Skylanders,SuperChargers,5,1,Yes,
,Stormblade,Skylanders,SuperChargers,5,2,Yes,
,Shark Shooter Terrafin,Skylanders,SuperChargers,5,3,Yes,
,Smash Hit,Skylanders,SuperChargers,5,4,Yes,
,Steel Plated Smash Hit,Skylanders,SuperChargers,5,4,No,
,Hammer Slam Bowser,Skylanders,SuperChargers,5,5,Yes,
,Dark Hammer Slam Bowser,Skylanders,SuperChargers,5,5,No,
,Lava Lance Eruptor,Skylanders,SuperChargers,5,6,Yes,
,Spitfire,Skylanders,SuperChargers,5,7,Yes,
,Dark Spitfire,Skylanders,SuperChargers,5,7,Yes,
,Turbo Charge Donkey Kong,Skylanders,SuperChargers,5,8,Yes,
,Dark Turbo Charge Donkey Kong,Skylanders,SuperChargers,5,8,No,
,Thrillipede,Skylanders,SuperChargers,5,9,No,
,Eggcited Thrillipede,Skylanders,SuperChargers,5,9,No,
,Super Shot Stealth Elf,Skylanders,SuperChargers,5,10,Yes,
,Dark Super Shot Stealth Elf,Skylanders,SuperChargers,5,10,Yes,
,Big Bubble Pop Fizz,Skylanders,SuperChargers,5,11,Yes,
,Birthday Bash Big Bubble Pop Fizz,Skylanders,SuperChargers,5,11,Yes,
,Splat,Skylanders,SuperChargers,5,12,Yes,
,Power Blue Splat,Skylanders,SuperChargers,5,12,No,
,Double Dare Trigger Happy,Skylanders,SuperChargers,5,13,No,
,Power Blue Trigger Happy,Skylanders,SuperChargers,5,13,No,
,High Volt,Skylanders,SuperChargers,5,14,Yes,
,Bone Bash Roller Brawl,Skylanders,SuperChargers,5,15,Yes,
,Legendary Bone Bash Roller Brawl,Skylanders,SuperChargers,5,15,No,
,Fiesta,Skylanders,SuperChargers,5,16,Yes,
,Frightful Fiesta,Skylanders,SuperChargers,5,16,Yes,
,Dive-Clops,Skylanders,SuperChargers,5,17,Yes,
,Missile-Tow Dive-Clops,Skylanders,SuperChargers,5,17,Yes,
,Deep Dive Gill Grunt,Skylanders,SuperChargers,5,18,Yes,
,Astroblast,Skylanders,SuperChargers,5,19,Yes,
,Legendary Astroblast,Skylanders,SuperChargers,5,19,No,
,Nightfall,Skylanders,SuperChargers,5,20,Yes,
,Jet Stream,Skylanders,SuperChargers,5,21,Yes,
,Sky Slicer,Skylanders,SuperChargers,5,22,Yes,
,Shark Tank,Skylanders,SuperChargers,5,23,Yes,
,Thump Truck,Skylanders,SuperChargers,5,24,Yes,
,Clown Cruiser,Skylanders,SuperChargers,5,25,Yes,
,Dark Clown Cruiser,Skylanders,SuperChargers,5,25,No,
,Burn-Cycle,Skylanders,SuperChargers,5,26,Yes,
,Hot Streak,Skylanders,SuperChargers,5,27,Yes,
,Dark Hot Streak,Skylanders,SuperChargers,5,27,Yes,
,Event Exclusive Hot Streak,Skylanders,SuperChargers,5,27,No,
,Golden Hot Streak,Skylanders,SuperChargers,5,27,No,
,Barrel Blaster,Skylanders,SuperChargers,5,28,Yes,
,Dark Barrel Blaster,Skylanders,SuperChargers,5,28,No,
,Buzz Wing,Skylanders,SuperChargers,5,29,No,
,Stealth Stinger,Skylanders,SuperChargers,5,30,Yes,
,Nitro Stealth Stinger,Skylanders,SuperChargers,5,30,Yes,
,Soda Skimmer,Skylanders,SuperChargers,5,31,Yes,
,Nitro Soda Skimmer,Skylanders,SuperChargers,5,31,No,
,Splatter Splasher,Skylanders,SuperChargers,5,32,Yes,
,Power Blue Splatter Splasher,Skylanders,SuperChargers,5,32,No,
,Gold Rusher,Skylanders,SuperChargers,5,33,No,
,Power Blue Gold Rusher,Skylanders,SuperChargers,5,33,No,
,Shield Striker,Skylanders,SuperChargers,5,34,Yes,
,Tomb Buggy,Skylanders,SuperChargers,5,35,Yes,
,Crypt Crusher,Skylanders,SuperChargers,5,36,Yes,
,Dive Bomber,Skylanders,SuperChargers,5,37,Yes,
,Spring Ahead Dive Bomber,Skylanders,SuperChargers,5,37,Yes,
,Reef Ripper,Skylanders,SuperChargers,5,38,Yes,
,Sun Runner,Skylanders,SuperChargers,5,39,Yes,
,Legendary Sun Runner,Skylanders,SuperChargers,5,39,Yes,
,Sea Shadow,Skylanders,SuperChargers,5,40,Yes,
,Dark Sea Shadow,Skylanders,SuperChargers,5,40,Yes,
,Kaos Trophy,Skylanders,SuperChargers,5,41,Yes,
,Land Trophy,Skylanders,SuperChargers,5,42,No,
,Sea Trophy,Skylanders,SuperChargers,5,43,Yes,
,Sky Trophy,Skylanders,SuperChargers,5,44,Yes,
,Wild Storm,Skylanders,Imaginators,6,1,No,
,Bad Juju,Skylanders,Imaginators,6,2,No,
,Mystical Bad Juju,Skylanders,Imaginators,6,2,No,
,Air Strike,Skylanders,Imaginators,6,3,No,
,Egg Bomber Air Strike,Skylanders,Imaginators,6,3,No,
,Golden Queen,Skylanders,Imaginators,6,4,Yes,
,Dark Golden Queen,Skylanders,Imaginators,6,4,No,
,Barbella,Skylanders,Imaginators,6,5,No,
,Tri-Tip,Skylanders,Imaginators,6,6,Yes,
,Legendary Tri-Tip,Skylanders,Imaginators,6,6,No,
,Flare Wolf,Skylanders,Imaginators,6,7,No,
,Hard-Boiled Flare Wolf,Skylanders,Imaginators,6,7,No,
,Tae Kwon Crow,Skylanders,Imaginators,6,8,No,
,Mystical Tae Kwon Crow,Skylanders,Imaginators,6,8,No,
,Ember,Skylanders,Imaginators,6,9,No,
,King Pen,Skylanders,Imaginators,6,10,Yes,
,Dark King Pen,Skylanders,Imaginators,6,10,No,
,Tidepool,Skylanders,Imaginators,6,11,No,
,Grave Clobber,Skylanders,Imaginators,6,12,No,
,Crash Bandicoot,Skylanders,Imaginators,6,13,Yes,
,Chompy Mage,Skylanders,Imaginators,6,14,No,
,Jingle Bell Chompy Mage,Skylanders,Imaginators,6,14,No,
,Ambush,Skylanders,Imaginators,6,15,Yes,
,Boom Bloom,Skylanders,Imaginators,6,16,No,
,Wolfgang,Skylanders,Imaginators,6,17,No,
,Dark Wolfgang,Skylanders,Imaginators,6,17,No,
,Pit Boss,Skylanders,Imaginators,6,18,No,
,Legendary Pit Boss,Skylanders,Imaginators,6,18,No,
,Chopscotch,Skylanders,Imaginators,6,19,Yes,
,Candy-Coated Chopscotch,Skylanders,Imaginators,6,19,No,
,Buckshot,Skylanders,Imaginators,6,20,No,
,Mysticat,Skylanders,Imaginators,6,21,No,
,Pain-Yatta,Skylanders,Imaginators,6,22,No,
,Dr. Neo Cortex,Skylanders,Imaginators,6,23,Yes,
,Chain Reaction,Skylanders,Imaginators,6,24,No,
,Ro-Bow,Skylanders,Imaginators,6,25,No,
,Dr. Krankcase,Skylanders,Imaginators,6,26,No,
,Blaster-Tron,Skylanders,Imaginators,6,27,No,
,Aurora,Skylanders,Imaginators,6,28,Yes,
,Solar Flare Aurora,Skylanders,Imaginators,6,28,No,
,Starcast,Skylanders,Imaginators,6,29,No,
,Hood Sickle,Skylanders,Imaginators,6,30,No,
,Steel Plated Hood Sickle,Skylanders,Imaginators,6,30,No,
,Kaos,Skylanders,Imaginators,6,31,No,
,Enchanted Elven Forest,Skylanders,Imaginators,6,32,Yes,
,Gryphon Park Observatory,Skylanders,Imaginators,6,33,Yes,
,Blue Chest (Cursed Tiki Temple),Skylanders,Imaginators,6,34,No,
,Blue Chest (Lost Imaginite Mines),Skylanders,Imaginators,6,35,No,
,Bronze Mystery Chest,Skylanders,Imaginators,6,36,Yes,
,Silver Mystery Chest,Skylanders,Imaginators,6,37,Yes,
,Gold Mystery Chest,Skylanders,Imaginators,6,38,Yes,
,Dark Reactor,Skylanders,Imaginators,6,39,No,
,Dark Rune,Skylanders,Imaginators,6,40,No,
,Dark Pyramid,Skylanders,Imaginators,6,41,No,
,Air Lantern,Skylanders,Imaginators,6,42,Yes,no gameye
,Air Angel,Skylanders,Imaginators,6,43,Yes,no gameye
,Earth Rocket,Skylanders,Imaginators,6,44,Yes,no gameye
,Earth Armor,Skylanders,Imaginators,6,45,Yes,no gameye
,Fire Acorn,Skylanders,Imaginators,6,46,No,
,Fire Reactor,Skylanders,Imaginators,6,47,Yes,
,Life Rune,Skylanders,Imaginators,6,48,No,
,Life Rocket,Skylanders,Imaginators,6,49,Yes,no gameye
,Life Claw,Skylanders,Imaginators,6,50,No,
,Life Acorn,Skylanders,Imaginators,6,51,Yes,no gameye
,Legendary Life Acorn,Skylanders,Imaginators,6,51,No,
,Magic Claw,Skylanders,Imaginators,6,52,No,
,Magic Lantern,Skylanders,Imaginators,6,53,Yes,
,Legendary Magic Lantern,Skylanders,Imaginators,6,53,No,
,Magic Pyramid,Skylanders,Imaginators,6,54,No,
,Tech Reactor,Skylanders,Imaginators,6,55,No,
,Tech Armor,Skylanders,Imaginators,6,56,Yes,no gameye
,Undead Claw,Skylanders,Imaginators,6,57,No,
,Undead Fanged,Skylanders,Imaginators,6,58,Yes,no gameye
,Undead Lantern,Skylanders,Imaginators,6,59,No,
,Water Rocket,Skylanders,Imaginators,6,60,No,
,Water Fanged,Skylanders,Imaginators,6,61,No,
,Water Armor,Skylanders,Imaginators,6,62,No,
,Light Fanged,Skylanders,Imaginators,6,63,Yes,no gameye
,Legendary Light Fanged,Skylanders,Imaginators,6,63,No,
,Light Rune,Skylanders,Imaginators,6,64,Yes,no gameye
,Spyro,Skylanders,Eon's Elite,Eon's Elite,1,No,
,Chop Chop,Skylanders,Eon's Elite,Eon's Elite,2,No,
,Whirlwind,Skylanders,Eon's Elite,Eon's Elite,3,No,
,Trigger Happy,Skylanders,Eon's Elite,Eon's Elite,4,No,
,Stealth Elf,Skylanders,Eon's Elite,Eon's Elite,5,No,
,Terrafin,Skylanders,Eon's Elite,Eon's Elite,6,No,
,Eruptor,Skylanders,Eon's Elite,Eon's Elite,7,No,
,Gill Grunt,Skylanders,Eon's Elite,Eon's Elite,8,No,
,Voodood,Skylanders,Eon's Elite,Eon's Elite,9,No,
,Zook,Skylanders,Eon's Elite,Eon's Elite,10,No,
,Slam Bam,Skylanders,Eon's Elite,Eon's Elite,11,No,
,Boomer,Skylanders,Eon's Elite,Eon's Elite,12,No,
,Ghost Roaster,Skylanders,Eon's Elite,Eon's Elite,13,No,
,Dino-Rang,Skylanders,Eon's Elite,Eon's Elite,14,No,
,Chase Da Silva,Starlink,Battle for Atlas,Battle for Atlas,1,Yes,no gameye
,Pulse,Starlink,Battle for Atlas,Battle for Atlas,1,Yes,no gameye
,Fox McCloud,Starlink,Battle for Atlas,Battle for Atlas,2,Yes,no gameye
,Arwing,Starlink,Battle for Atlas,Battle for Atlas,2,Yes,no gameye
,Hunter Hakka,Starlink,Battle for Atlas,Battle for Atlas,3,Yes,no gameye
,Lance,Starlink,Battle for Atlas,Battle for Atlas,3,Yes,no gameye
,Judge,Starlink,Battle for Atlas,Battle for Atlas,4,Yes,no gameye
,Neptune,Starlink,Battle for Atlas,Battle for Atlas,4,Yes,no gameye
,Levi McCray,Starlink,Battle for Atlas,Battle for Atlas,5,Yes,no gameye
,Scramble,Starlink,Battle for Atlas,Battle for Atlas,5,Yes,no gameye
,Mason Rana,Starlink,Battle for Atlas,Battle for Atlas,6,Yes,no gameye
,Zenith,Starlink,Battle for Atlas,Battle for Atlas,6,Yes,no gameye
,Razor Lemay,Starlink,Battle for Atlas,Battle for Atlas,7,Yes,no gameye
,Cerberus,Starlink,Battle for Atlas,Battle for Atlas,7,Yes,no gameye
,Shaid,Starlink,Battle for Atlas,Battle for Atlas,8,Yes,no gameye
,Nadir,Starlink,Battle for Atlas,Battle for Atlas,8,Yes,no gameye
,Eli Arborwood,Starlink,Battle for Atlas,Battle for Atlas,9,Yes,no gameye
,Kharl Zeon,Starlink,Battle for Atlas,Battle for Atlas,10,Yes,no gameye
,Startail,Starlink,Battle for Atlas,Battle for Atlas,11,Yes,no gameye
,Crusher,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Flamethrower,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Freeze Ray Mk2,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Frost Barrage,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Fury Cannon,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Gauss Gun Mk2,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Hailstorm,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Imploder,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Iron Fist,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Levitator,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Meteor Mk2,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Nullifier,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Shockwave,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Shredder,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Shredder Mk2,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye
,Volcano,Starlink,Battle for Atlas,Battle for Atlas,,Yes,no gameye