Platform,Brand,Launch
3DO Interactive Multiplayer,3DO,10/4/1993
Atari Video Computer System,Atari,9/11/1977
Atari 5200 SuperSystem,Atari,1/1/1982
Atari 7800 ProSystem,Atari,5/1/1986
Atari Lynx,Atari,9/1/1989
Atari Jaguar,Atari,11/23/1993
ColecoVision,Coleco,8/1/1982
Intellivision,Intellivision,1/1/1979
Neo Geo Advanced Entertainment System,Neo Geo,7/1/1991
Neo Geo CD,Neo Geo,1/15/1996
Neo Geo Pocket Color,Neo Geo,8/6/1999
Neo Geo X,Neo Geo,12/18/2012
Nintendo Entertainment System,Nintendo,10/18/1985
Game Boy,Nintendo,7/31/1989
Super Nintendo Entertainment System,Nintendo,8/23/1991
Virtual Boy,Nintendo,8/14/1995
Nintendo 64,Nintendo,9/29/1996
Game Boy Color,Nintendo,11/18/1998
Game Boy Advance,Nintendo,6/11/2001
GameCube,Nintendo,11/18/2001
Nintendo DS,Nintendo,11/21/2004
Wii,Nintendo,11/19/2006
Nintendo 3DS,Nintendo,3/27/2011
Wii U,Nintendo,11/18/2012
New Nintendo 3DS,Nintendo,2/13/2015
Nintendo Switch,Nintendo,3/3/2017
Nintendo Switch 2,Nintendo,6/5/2025
Philips CD-i,Philips,12/3/1991
PlayStation,PlayStation,9/9/1995
PlayStation 2,PlayStation,10/26/2000
PlayStation Portable,PlayStation,3/24/2005
PlayStation 3,PlayStation,11/17/2006
PlayStation Vita,PlayStation,2/15/2012
PlayStation 4,PlayStation,11/15/2013
PlayStation 5,PlayStation,11/12/2020
Sega Master System,Sega,9/1/1986
Sega Genesis,Sega,8/14/1989
Game Gear,Sega,4/1/1991
Sega CD,Sega,10/15/1992
Sega Pico,Sega,11/1/1994
Sega 32X,Sega,11/21/1994
Sega Saturn,Sega,5/11/1995
Dreamcast,Sega,9/9/1999
Game.com,Tiger Electronics,8/1/1997
TurboGrafx-16,TurboGrafx,8/29/1989
TurboGrafx-CD,TurboGrafx,11/1/1989
Xbox,Xbox,11/15/2001
Xbox 360,Xbox,11/22/2005
Xbox One,Xbox,11/22/2013
Xbox Series X,Xbox,11/10/2020